Station Code,Zip Code,City,State,Latitude,Longitude
RQC00666270,674,Manati,PR,18.3794,-66.5153
RQC00666361,662,Isabela,PR,18.4736,-67.0289
RQC00666390,687,Morovis,PR,18.3344,-66.4078
RQC00666514,783,Corozal,PR,18.2886,-66.3433
RQC00666805,718,Naguabo,PR,18.265,-65.7208
RQC00666900,723,Patillas,PR,18.0025,-66.0128
RQC00666983,624,Penuelas,PR,18.0586,-66.7183
RQC00666992,718,Naguabo,PR,18.2708,-65.7592
RQC00667292,795,Juana Diaz,PR,18.0258,-66.5253
RQC00667295,716,Ponce,PR,17.985,-66.6294
RQC00668126,677,Rincon,PR,18.3375,-67.2497
RQC00668144,718,Naguabo,PR,18.2433,-65.785
RQC00668306,925,San Juan,PR,18.3906,-66.0542
RQC00668814,979,Carolina,PR,18.4256,-65.9917
RQC00668815,754,San Lorenzo,PR,18.1517,-65.9589
RQC00668881,685,San Sebastian,PR,18.3469,-67.0119
RQC00668940,757,Santa Isabel,PR,17.9692,-66.3772
RQC00669421,646,Dorado,PR,18.4333,-66.2667
RQC00669432,720,Orocovis,PR,18.1731,-66.4928
RQC00669521,976,Trujillo Alto,PR,18.3283,-66.0164
RQC00669608,641,Utuado,PR,18.2617,-66.6864
RQC00669774,766,Villalba,PR,18.1094,-66.5056
RQC00669860,698,Yauco,PR,18.0436,-66.8606
RQW00011603,603,Aguadilla,PR,18.4981,-67.1294
RQW00011630,735,Ceiba,PR,18.255,-65.6408
RQW00011641,979,Carolina,PR,18.4325,-66.0108
USC00010008,36310,Abbeville,AL,31.5703,-85.2483
USC00010063,35540,Addison,AL,34.2553,-87.1814
USC00010140,36720,Alberta,AL,32.2322,-87.4103
USC00010160,35010,Alexander City,AL,32.9453,-85.9481
USC00010178,35442,Aliceville,AL,33.1272,-88.155
USC00010184,35447,Carrollton,AL,33.21,-88.2878
USC00010252,36420,Andalusia,AL,31.3072,-86.5225
USC00010260,35652,Rogersville,AL,34.9092,-87.2747
USC00010369,36251,Ashland,AL,33.2942,-85.7789
USC00010390,35611,Athens,AL,34.7753,-86.9508
USC00010402,36502,Atmore,AL,31.1819,-87.4389
USC00010425,36830,Auburn,AL,32.5992,-85.4653
USC00010430,36832,Auburn,AL,32.6,-85.5
USC00010440,36003,Autaugaville,AL,32.4706,-86.68
USC00010505,35475,Northport,AL,33.4528,-87.3572
USC00010583,36507,Bay Minette,AL,30.8839,-87.7853
USC00010655,35756,Madison,AL,34.6908,-86.8825
USC00010748,35542,Bankston,AL,33.6972,-87.6492
USC00010764,35023,Bessemer,AL,33.3953,-87.0078
USC00010957,35957,Boaz,AL,34.2008,-86.1633
USC00011080,36426,Brewton,AL,31.1414,-87.0486
USC00011084,36426,Brewton,AL,31.0581,-87.0547
USC00011099,35740,Bridgeport,AL,34.9786,-85.8008
USC00011178,36010,Brundidge,AL,31.7056,-85.8369
USC00011288,35040,Calera,AL,33.0944,-86.7456
USC00011301,36726,Camden,AL,32.0289,-87.3167
USC00011324,36850,Camp Hill,AL,32.8236,-85.6561
USC00011377,35587,Townley,AL,33.8464,-87.4872
USC00011490,35960,Centre,AL,34.15,-85.6847
USC00011566,36518,Chatom,AL,31.4714,-88.2503
USC00011620,35044,Childersburg,AL,33.285,-86.3431
USC00011690,36444,Franklin,AL,31.6167,-87.55
USC00011694,35045,Clanton,AL,32.8203,-86.6522
USC00011725,36016,Clayton,AL,31.8708,-85.45
USC00011803,36509,Bayou la Batre,AL,30.3878,-88.2281
USC00011810,36524,Coffeeville,AL,31.7556,-88.1283
USC00012096,35055,Cullman,AL,34.1925,-86.7972
USC00012172,36528,Dauphin Island,AL,30.2506,-88.0775
USC00012209,35601,Decatur,AL,34.5569,-86.9503
USC00012245,35470,Livingston,AL,32.5192,-87.88
USC00012377,36301,Dothan,AL,31.1942,-85.3708
USC00012577,36323,Elba,AL,31.4239,-86.0667
USC00012675,36330,Enterprise,AL,31.2975,-85.8997
USC00012730,36027,Eufaula,AL,32.0111,-85.09
USC00012758,36401,Evergreen,AL,31.445,-86.9533
USC00012813,36532,Fairhope,AL,30.5467,-87.8808
USC00012840,35622,Falkville,AL,34.3667,-86.8833
USC00012883,35555,Fayette,AL,33.6847,-87.8214
USC00013043,35967,Fort Payne,AL,34.4406,-85.7236
